"player_id","player","first_name","last_name","display_last_comma_first","display_fi_last","birthdate","school","country","last_affiliation","height","weight_lbs","season_exp","jersey","position","rosterstatus","team_id","team_name","team_abbreviation","team_code","team_city","playercode","from_year","to_year","dleague_flag","height_inches","seasons_player","bmi","timeframe","career_pts","career_ast","career_reb","career_pie","nba_stats_url","career_all_star_appearances"
"977","Kobe Bryant","Kobe","Bryant","Bryant, Kobe","K. Bryant",1978-08-23,"Lower Merion HS (PA)","USA","Lower Merion HS (PA)/USA","6-6",212,"18","24","Guard","Active","1610612747","Lakers","LAL","lakers","Los Angeles","kobe_bryant",1996,2014,"N",78,18,24.4963839579224,"2014-15",27.5,4,5.1,"0.123","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=977",NA
"2544","LeBron James","LeBron","James","James, LeBron","L. James",1984-12-30,"St. Vincent-St. Mary HS (OH)","USA","St. Vincent-St. Mary HS (OH)/USA","6-8",250,"11","23","Forward","Active","1610612739","Cavaliers","CLE","cavaliers","Cleveland","lebron_james",2003,2014,"N",80,11,27.4609375,"2014-15",25.9,6.8,6.6,"0.159","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2544",NA
"203076","Anthony Davis","Anthony","Davis","Davis, Anthony","A. Davis",1993-03-11,"Kentucky","USA","Kentucky/USA","6-10",220,"2","23","Forward-Center","Active","1610612740","Pelicans","NOP","pelicans","New Orleans","anthony_davis",2012,2014,"N",82,2,23.0011897679952,"2014-15",25.5,2,11.4,"0.214","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=203076",NA
"201939","Stephen Curry","Stephen","Curry","Curry, Stephen","S. Curry",1988-03-14,"Davidson","USA","Davidson/USA","6-3",190,"5","30","Guard","Active","1610612744","Warriors","GSW","warriors","Golden State","stephen_curry",2009,2014,"N",75,5,23.7457777777778,"2014-15",24.8,7.7,5.5,"0.191","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=201939",NA
"2546","Carmelo Anthony","Carmelo","Anthony","Anthony, Carmelo","C. Anthony",1984-05-29,"Syracuse","USA","Syracuse/USA","6-8",240,"11","7","Forward","Active","1610612752","Knicks","NYK","knicks","New York","carmelo_anthony",2003,2014,"N",80,11,26.3625,"2014-15",23.8,3.5,5.6,"0.131","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2546",NA
"201935","James Harden","James","Harden","Harden, James","J. Harden",1989-08-26,"Arizona State","USA","Arizona State/USA","6-5",220,"5","13","Guard","Active","1610612745","Rockets","HOU","rockets","Houston","james_harden",2009,2014,"N",77,5,26.0853432282004,"2014-15",23.8,6.9,6.3,"0.184","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=201935",NA
"202691","Klay Thompson","Klay","Thompson","Thompson, Klay","K. Thompson",1990-02-08,"Washington State","USA","Washington State/USA","6-7",215,"3","11","Guard","Active","1610612744","Warriors","GSW","warriors","Golden State","klay_thompson",2011,2014,"N",79,3,24.2180740265983,"2014-15",23.6,3.3,3.2,"0.147","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202691",NA
"201933","Blake Griffin","Blake","Griffin","Griffin, Blake","B. Griffin",1989-03-16,"Oklahoma","USA","Oklahoma/USA","6-10",251,"4","32","Forward","Active","1610612746","Clippers","LAC","clippers","Los Angeles","blake_griffin",2009,2014,"N",82,5,26.2422665080309,"2014-15",22.8,3.5,7,"0.114","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=201933",NA
"202326","DeMarcus Cousins","DeMarcus","Cousins","Cousins, DeMarcus","D. Cousins",1990-08-13,"Kentucky","USA","Kentucky/USA","6-11",270,"4","15","Center","Active","1610612758","Kings","SAC","kings","Sacramento","demarcus_cousins",2010,2014,"N",83,4,27.5526201190303,"2014-15",22.5,1.7,11.6,"0.192","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202326",NA
"202681","Kyrie Irving","Kyrie","Irving","Irving, Kyrie","K. Irving",1992-03-23,"Duke","Australia","Duke/Australia","6-3",193,"3","2","Guard","Active","1610612739","Cavaliers","CLE","cavaliers","Cleveland","kyrie_irving",2011,2014,"N",75,3,24.1207111111111,"2014-15",21.9,5,3.2,"0.126","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202681",NA
"200746","LaMarcus Aldridge","LaMarcus","Aldridge","Aldridge, LaMarcus","L. Aldridge",1985-07-19,"Texas","USA","Texas/USA","6-11",240,"8","12","Forward","Active","1610612757","Trail Blazers","POR","blazers","Portland","lamarcus_aldridge",2006,2014,"N",83,8,24.4912178835825,"2014-15",21.9,2.2,8,"0.138","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=200746",NA
"200752","Rudy Gay","Rudy","Gay","Gay, Rudy","R. Gay",1986-08-17,"Connecticut","USA","Connecticut/USA","6-8",230,"8","8","Forward","Active","1610612758","Kings","SAC","kings","Sacramento","rudy_gay",2006,2014,"N",80,8,25.2640625,"2014-15",21.8,3.6,6.5,"0.155","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=200752",NA
"202710","Jimmy Butler","Jimmy","Butler","Butler, Jimmy","J. Butler",1989-09-14,"Marquette","USA","Marquette/USA","6-7",220,"3","21","Guard-Forward","Active","1610612741","Bulls","CHI","bulls","Chicago","jimmy_butler",2011,2014,"N",79,3,24.7812850504727,"2014-15",21.3,3.9,6.2,"0.147","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202710",NA
"201942","DeMar DeRozan","DeMar","DeRozan","DeRozan, DeMar","D. DeRozan",1989-08-07,"USC","USA","USC/USA","6-7",220,"5","10","Guard","Active","1610612761","Raptors","TOR","raptors","Toronto","demar_derozan",2009,2014,"N",79,5,24.7812850504727,"2014-15",21.2,2.6,4.3,"0.126","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=201942",NA
"203081","Damian Lillard","Damian","Lillard","Lillard, Damian","D. Lillard",1990-07-15,"Weber State","USA","Weber State/USA","6-3",195,"2","0","Guard","Active","1610612757","Trail Blazers","POR","blazers","Portland","damian_lillard",2012,2014,"N",75,2,24.3706666666667,"2014-15",20.9,6.6,5.1,"0.157","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=203081",NA
"2744","Al Jefferson","Al","Jefferson","Jefferson, Al","A. Jefferson",1985-01-04,"Prentiss HS (MS)","USA","Prentiss HS (MS)/USA","6-10",289,"10","25","Center","Active","1610612766","Hornets","CHA","hornets","Charlotte","al_jefferson",2004,2014,"N",82,10,30.2151992861392,"2014-15",20.7,1.9,6.8,"0.126","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2744",NA
"2755","Kevin Martin","Kevin","Martin","Martin, Kevin","K. Martin",1983-02-01,"Western Carolina","USA","Western Carolina/USA","6-7",204,"10","23","Guard","Active","1610612750","Timberwolves","MIN","timberwolves","Minnesota","kevin_martin",2004,2014,"N",79,10,22.9790097740747,"2014-15",20.4,1.9,3.7,"0.137","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2755",NA
"2547","Chris Bosh","Chris","Bosh","Bosh, Chris","C. Bosh",1984-03-24,"Georgia Tech","USA","Georgia Tech/USA","6-11",235,"11","1","Center","Active","1610612748","Heat","MIA","heat","Miami","chris_bosh",2003,2014,"N",83,11,23.9809841776746,"2014-15",19.9,2.9,8.7,"0.154","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2547",NA
"202704","Reggie Jackson","Reggie","Jackson","Jackson, Reggie","R. Jackson",1990-04-16,"Boston College","USA","Boston College/USA","6-3",208,"3","15","Guard","Active","1610612760","Thunder","OKC","thunder","Oklahoma City","reggie_jackson",2011,2014,"Y",75,3,25.9953777777778,"2014-15",19.8,7.7,4.9,"0.129","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202704",NA
"2548","Dwyane Wade","Dwyane","Wade","Wade, Dwyane","D. Wade",1982-01-17,"Marquette","USA","Marquette/USA","6-4",220,"11","3","Guard","Active","1610612748","Heat","MIA","heat","Miami","dwyane_wade",2003,2014,"N",76,11,26.7763157894737,"2014-15",19.8,6.4,3.5,"0.147","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2548",NA
"101145","Monta Ellis","Monta","Ellis","Ellis, Monta","M. Ellis",1985-10-26,"Lanier HS (Jackson, MS)","USA","Lanier HS (Jackson, MS)/USA","6-3",185,"9","11","Guard","Active","1610612742","Mavericks","DAL","mavericks","Dallas","monta_ellis",2005,2014,"N",75,9,23.1208888888889,"2014-15",19.7,4.2,2.4,"0.114","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=101145",NA
"203100","Tony Wroten","Tony","Wroten","Wroten, Tony","T. Wroten",1993-04-13,"Washington","USA","Washington/USA","6-6",205,"2","8","Guard","Active","1610612755","76ers","PHI","sixers","Philadelphia","tony_wroten",2012,2014,"Y",78,2,23.6875410913872,"2014-15",19.3,6.1,3.8,"0.113","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=203100",NA
"1717","Dirk Nowitzki","Dirk","Nowitzki","Nowitzki, Dirk","D. Nowitzki",1978-06-19,"Wurzburg, Germany","Germany","DJK Wurzburg/Germany","7-0",245,"16","41","Forward","Active","1610612742","Mavericks","DAL","mavericks","Dallas","dirk_nowitzki",1998,2014,"N",84,16,24.4097222222222,"2014-15",19.1,2.3,5.3,"0.158","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1717",NA
"201145","Jeff Green","Jeff","Green","Green, Jeff","J. Green",1986-08-28,"Georgetown","USA","Georgetown/USA","6-9",235,"6","8","Forward","Active","1610612738","Celtics","BOS","celtics","Boston","jeff_green",2007,2014,"N",81,7,25.1798506325255,"2014-15",19,2,5.2,"0.102","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=201145",NA
"202699","Tobias Harris","Tobias","Harris","Harris, Tobias","T. Harris",1992-07-15,"Tennessee","USA","Tennessee/USA","6-9",235,"3","12","Forward","Active","1610612753","Magic","ORL","magic","Orlando","tobias_harris",2011,2014,"N",81,3,25.1798506325255,"2014-15",18.9,1.8,7.8,"0.129","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202699",NA
"2730","Dwight Howard","Dwight","Howard","Howard, Dwight","D. Howard",1985-12-08,"SW Atlanta Christian Academy (GA)","USA","SW Atlanta Christian Academy (GA)/USA","6-11",265,"10","12","Center","Active","1610612745","Rockets","HOU","rockets","Houston","dwight_howard",2004,2014,"N",83,10,27.0423864131224,"2014-15",18.8,1.3,11.3,"0.154","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2730",NA
"202696","Nikola Vucevic","Nikola","Vucevic","Vucevic, Nikola","N. Vucevic",1990-10-24,"USC","Montenegro","USC/Montenegro","7-0",260,"3","9","Center","Active","1610612753","Magic","ORL","magic","Orlando","nikola_vucevic",2011,2014,"N",84,3,25.9041950113379,"2014-15",18.8,2.6,11.9,"0.163","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202696",NA
"202330","Gordon Hayward","Gordon","Hayward","Hayward, Gordon","G. Hayward",1990-03-23,"Butler","USA","Butler/USA","6-8",225,"4","20","Forward","Active","1610612762","Jazz","UTA","jazz","Utah","gordon_hayward",2010,2014,"N",80,4,24.71484375,"2014-15",18.7,4.6,5.4,"0.149","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202330",NA
"202322","John Wall","John","Wall","Wall, John","J. Wall",1990-09-06,"Kentucky","USA","Kentucky/USA","6-4",195,"4","2","Guard","Active","1610612764","Wizards","WAS","wizards","Washington","john_wall",2010,2014,"N",76,4,23.7335526315789,"2014-15",18.6,9.3,4.1,"0.157","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=202322",NA
"2200","Pau Gasol","Pau","Gasol","Gasol, Pau","P. Gasol",1980-07-06,"Barcelona, Spain","Spain","FC Barcelona/Spain","7-0",250,"13","16","Forward-Center","Active","1610612741","Bulls","CHI","bulls","Chicago","pau_gasol",2001,2014,"N",84,13,24.9078798185941,"2014-15",18.6,1.9,10.6,"0.16","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2200",NA
"2037","Jamal Crawford","Jamal","Crawford","Crawford, Jamal","J. Crawford",1980-03-20,"Michigan","USA","Michigan/USA","6-5",200,"14","11","Guard","Active","1610612746","Clippers","LAC","clippers","Los Angeles","jamal_crawford",2000,2014,"N",77,14,23.7139483892731,"2014-15",18.4,3.1,1.8,"0.12","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2037",NA
"200768","Kyle Lowry","Kyle","Lowry","Lowry, Kyle","K. Lowry",1986-03-25,"Villanova","USA","Villanova/USA","6-0",205,"8","7","Guard","Active","1610612761","Raptors","TOR","raptors","Toronto","kyle_lowry",2006,2014,"N",72,8,27.7999614197531,"2014-15",18.3,5.9,4.6,"0.142","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=200768",NA
"101114","Deron Williams","Deron","Williams","Williams, Deron","D. Williams",1984-06-26,"Illinois","USA","Illinois/USA","6-3",200,"9","8","Guard","Active","1610612751","Nets","BKN","nets","Brooklyn","deron_williams",2005,2014,"N",75,9,24.9955555555556,"2014-15",18.2,6.5,3.2,"0.116","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=101114",NA
"201188","Marc Gasol","Marc","Gasol","Gasol, Marc","M. Gasol",1985-01-29,"Barcelona, Spain","Spain","FC Barcelona/Spain","7-1",265,"6","33","Center","Active","1610612763","Grizzlies","MEM","grizzlies","Memphis","marc_gasol",2008,2014,"N",85,6,25.7847750865052,"2014-15",18,3.3,7.8,"0.153","http://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=201188",NA
