state,type,count
AL,Total Players,80
AK,Total Players,1
AZ,Total Players,12
AR,Total Players,45
CA,Total Players,358
CO,Total Players,17
CT,Total Players,31
DE,Total Players,6
DC,Total Players,68
FL,Total Players,99
GA,Total Players,115
HI,Total Players,2
ID,Total Players,4
IL,Total Players,220
IN,Total Players,114
IA,Total Players,20
KS,Total Players,31
KY,Total Players,93
LA,Total Players,106
ME,Total Players,1
MD,Total Players,59
MA,Total Players,36
MI,Total Players,135
MN,Total Players,44
MS,Total Players,85
MO,Total Players,51
MT,Total Players,9
NE,Total Players,12
NV,Total Players,7
NH,Total Players,1
NJ,Total Players,103
NM,Total Players,7
NY,Total Players,311
NC,Total Players,109
ND,Total Players,6
OH,Total Players,153
OK,Total Players,34
OR,Total Players,25
PA,Total Players,178
RI,Total Players,7
SC,Total Players,35
SD,Total Players,5
TN,Total Players,78
TX,Total Players,142
UT,Total Players,20
VT,Total Players,0
VA,Total Players,67
WA,Total Players,52
WV,Total Players,24
WI,Total Players,46
WY,Total Players,6
AL,Total Hall of Famers,1
AK,Total Hall of Famers,0
AZ,Total Hall of Famers,0
AR,Total Hall of Famers,2
CA,Total Hall of Famers,11
CO,Total Hall of Famers,0
CT,Total Hall of Famers,1
DE,Total Hall of Famers,0
DC,Total Hall of Famers,4
FL,Total Hall of Famers,3
GA,Total Hall of Famers,1
HI,Total Hall of Famers,0
ID,Total Hall of Famers,0
IL,Total Hall of Famers,6
IN,Total Hall of Famers,3
IA,Total Hall of Famers,0
KS,Total Hall of Famers,0
KY,Total Hall of Famers,6
LA,Total Hall of Famers,8
ME,Total Hall of Famers,0
MD,Total Hall of Famers,0
MA,Total Hall of Famers,0
MI,Total Hall of Famers,5
MN,Total Hall of Famers,1
MS,Total Hall of Famers,2
MO,Total Hall of Famers,3
MT,Total Hall of Famers,1
NE,Total Hall of Famers,0
NV,Total Hall of Famers,0
NH,Total Hall of Famers,0
NJ,Total Hall of Famers,3
NM,Total Hall of Famers,0
NY,Total Hall of Famers,22
NC,Total Hall of Famers,5
ND,Total Hall of Famers,0
OH,Total Hall of Famers,6
OK,Total Hall of Famers,0
OR,Total Hall of Famers,0
PA,Total Hall of Famers,10
RI,Total Hall of Famers,0
SC,Total Hall of Famers,1
SD,Total Hall of Famers,0
TN,Total Hall of Famers,2
TX,Total Hall of Famers,3
UT,Total Hall of Famers,0
VT,Total Hall of Famers,0
VA,Total Hall of Famers,3
WA,Total Hall of Famers,1
WV,Total Hall of Famers,2
WI,Total Hall of Famers,0
WY,Total Hall of Famers,0
AL,Proportion of Players,2.44648318042813
AK,Proportion of Players,0.0305810397553517
AZ,Proportion of Players,0.36697247706422
AR,Proportion of Players,1.37614678899083
CA,Proportion of Players,10.9480122324159
CO,Proportion of Players,0.519877675840979
CT,Proportion of Players,0.948012232415902
DE,Proportion of Players,0.18348623853211
DC,Proportion of Players,2.07951070336391
FL,Proportion of Players,3.02752293577982
GA,Proportion of Players,3.51681957186544
HI,Proportion of Players,0.0611620795107034
ID,Proportion of Players,0.122324159021407
IL,Proportion of Players,6.72782874617737
IN,Proportion of Players,3.48623853211009
IA,Proportion of Players,0.611620795107034
KS,Proportion of Players,0.948012232415902
KY,Proportion of Players,2.84403669724771
LA,Proportion of Players,3.24159021406728
ME,Proportion of Players,0.0305810397553517
MD,Proportion of Players,1.80428134556575
MA,Proportion of Players,1.10091743119266
MI,Proportion of Players,4.12844036697248
MN,Proportion of Players,1.34556574923547
MS,Proportion of Players,2.59938837920489
MO,Proportion of Players,1.55963302752294
MT,Proportion of Players,0.275229357798165
NE,Proportion of Players,0.36697247706422
NV,Proportion of Players,0.214067278287462
