year.draft,player,weight.lbs
2015,Brandon Scherff,320
2015,Ereck Flowers,324
2015,Andrus Peat,312
2015,Cameron Erving,308
2015,Cedric Ogbuehi,300
2015,D.J. Humphries,290
2015,Laken Tomlinson,323
2015,Donovan Smith,341
2015,Mitch Morse,305
2015,Jake Fisher,299
2015,Rob Havenstein,332
2015,Ty Sambrailo,309
2015,Ali Marpet,307
2015,Jeremiah Poutasi,322
2015,A.J. Cann,311
2015,Hroniss Grasu,297
2015,Jamon Brown,330
2015,John Miller,315
2015,Chaz Green,300
2015,Daryl Williams,334
2015,T.J. Clemmings,307
2015,Tre' Jackson,323
2015,Arie Kouandjio,318
2015,Jamil Douglas,307
2015,Andrew Donnal,305
2015,Jon Feliciano,335
2015,Terry Poole,307
2015,Shaq Mason,300
2015,Max Garcia,305
2015,Mark Glowinski,310
2015,Jarvis Harrison,344
2015,Robert Myers,326
2015,Tayo Fabuluje,353
2015,Tyrus Thompson,336
2015,Ian Silberman,294
2015,Andy Gallik,299
2015,Cody Wichmann,315
2015,Anthony Morris,290
2015,Austin Reiter,296
2015,Jake Rodgers,320
2015,Bobby Hart,336
2015,Austin Shepherd,324
2015,Corey Robinson,344
2015,Laurence Gibson,300
2015,Trenton Brown,376
2015,Denzell Goode,320
2014,Greg Robinson,332
2014,Jake Matthews,308
2014,Taylor Lewan,309
2014,Zack Martin,308
2014,Ja'Wuan James,311
2014,Xavier Su'a-Filo,307
2014,Joel Bitonio,302
2014,Weston Richburg,298
2014,Cyrus Kouandjio,322
2014,Jack Mewhort,309
2014,Justin Britt,325
2014,Morgan Moses,314
2014,Marcus Martin,320
2014,Travis Swanson,312
2014,Spencer Long,320
2014,Gabe Jackson,336
2014,Chris Watt,310
2014,Trai Turner,310
2014,Brandon Linder,311
2014,Michael Schofield,301
2014,Brandon Thomas,317
2014,Bryan Stork,315
2014,Russell Bodine,310
2014,Dakota Dozier,313
2014,Cameron Fleming,323
2014,Kadeem Edwards,313
2014,David Yankey,315
2014,Kevin Pamphile,310
2014,Cyril Richardson,329
2014,Corey Linsley,296
2014,Wesley Johnson,297
2014,John Urschel,313
2014,Jon Halapio,323
2014,Zach Fulton,316
2014,Garrett Scott,307
2014,Laurent Duvernay-Tardif,321
2014,Tavon Rooks,280
2014,Luke Bowanko,293
2014,Matt Paradis,306
2014,Mitchell Van Dyk,299
2014,Ulrick John,288
2014,Seantrel Henderson,331
2014,Charles Leno,303
2014,Demetrius Rhaney,301
2013,Eric Fisher,306
2013,Luke Joeckel,306
2013,Lane Johnson,303
2013,Jonathan Cooper,311
2013,Chance Warmack,317
2013,D.J. Fluker,339
2013,Justin Pugh,307
2013,Kyle Long,313
2013,Travis Frederick,312
2013,Menelik Watson,310
2013,Larry Warford,332
2013,Brian Winters,320
2013,Terron Armstead,306
2013,Dallas Thomas,306
2013,Hugh Thornton,320
2013,Brian Schwenke,314
2013,David Bakhtiari,299
2013,Barrett Jones,306
2013,Earl Watford,300
2013,Khaled Holmes,302
2013,J.C. Tretter,307
2013,Oday Aboushi,308
2013,Tanner Hawkinson,298
2013,Jordan Mills,316
2013,Ricky Wagner,308
2013,Vinston Painter,306
2013,David Quessenberry,302
2013,William Campbell,311
2013,Jeff Baca,302
2013,Eric Herman,320
2013,Garrett Gilkey,318
2013,Reid Fragel,308
2013,T.J. Johnson,310
2012,Matt Kalil,306
2012,Riley Reiff,313
2012,David DeCastro,316
2012,Kevin Zeitler,315
2012,Mitchell Schwartz,317
2012,Amini Silatolu,312
2012,Cordy Glenn,345
2012,Jonathan Martin,300
2012,Jeff Allen,306
2012,Peter Konz,315
2012,Mike Adams,323
2012,Kelechi Osemele,333
2012,Josh LeRibeus,316
2012,Donald Stephenson,312
2012,Brandon Brooks,343
2012,Lamar Holmes,320
2012,Tony Bergstrom,315
2012,Gino Gradkowski,300
2012,Ben Jones,304
2012,Philip Blake,311
2012,Bobby Massie,316
2012,Joe Looney,309
2012,Brandon Mosley,314
2012,Adam Gettis,293
2012,Zebrie Sanders,320
2012,Johnnie Troutman,325
2012,Rokevious Watkins,338
2012,Senio Kelemete,307
2012,Dennis Kelly,304
2012,Ryan Miller,321
2012,Mark Asper,319
2012,Andrew Tiller,324
2012,Tom Compton,314
2012,Nick Mondek,304
2012,Jason Slowey,303
2012,Brandon Washington,320
2012,Matt McCants,308
2012,Robert Griffin,220
2012,Robert Griffin,330
2012,Justin Anderson,335
2012,Nate Potter,303
2012,David Molk,298
2012,Marcel Jones,320
2012,Andrew Datko,315
2012,Kelvin Beachum,303
2011,Tyron Smith,290
2011,Mike Pouncey,311
2011,Nate Solder,314
2011,Anthony Castonzo,305
2011,Danny Watkins,312
2011,James Carpenter,313
2011,Gabe Carimi,315
2011,Derek Sherrod,312
2011,Orlando Franklin,315
2011,Stefen Wisniewski,295
2011,Ben Ijalana,319
2011,Rodney Hudson,291
2011,Marcus Gilbert,329
2011,John Moffitt,314
2011,Will Rackley,306
2011,Jah Reid,327
2011,Joe Barksdale,313
2011,Clint Boling,310
2011,David Arkin,300
2011,James Brewer,323
2011,Chris Hairston,323
2011,Marcus Cannon,363
2011,Jason Pinkston,313
2011,Julian Vandervelde,301
2011,Daniel Kilgore,308
2011,Demarcus Love,315
2011,Brandon Fusco,302
2011,Byron Stingily,313
2011,Caleb Schlauderaff,305
2011,Jason Kelce,282
2011,Keith Williams,312
2011,Stephen Schilling,308
2011,Zachary Williams,309
2011,Johnny Culbreath,280
2011,Andrew Jackson,299
2011,Derek Newton,311
2011,Maurice Hurt,319
2011,Michael Person,299
2011,Lee Ziemba,317
2011,Bill Nagy,302
2010,Trent Williams,315
2010,Russell Okung,307
2010,Anthony Davis,323
2010,Mike Iupati,329
2010,Maurkice Pouncey,304
2010,Bryan Bulaga,315
2010,Rodger Saffold,312
2010,Zane Beadles,310
2010,Vlad Ducasse,326
2010,Charles Brown,284
2010,Jon Asamoah,304
2010,Jared Veldheer,322
2010,John Jerry,349
2010,J.D. Walton,299
2010,Shawn Lauvao,301
2010,Mike Johnson,301
2010,Bruce Campbell,310
2010,Joe Hawley,297
2010,Jason Fox,299
2010,Jacques McClendon,324
2010,Ed Wang,315
2010,Mitch Petrus,311
2010,Chris Scott,328
2010,Otis Hudson,320
2010,Matt Tennant,274
2010,Chris DeGeare,335
2010,Marshall Newhouse,326
2010,Sam Young,302
2010,Eric Olsen,301
2010,Shelley Smith,303
2010,Ramon Harewood,334
2010,Ted Larsen,307
2010,Thomas Welch,306
2010,J'Marcus Webb,335
2010,Reggie Stephens,320
2010,Selvish Capers,304
2009,Jason Smith,305
2009,Andre Smith,340
2009,Eugene Monroe,310
2009,Alex Mack,312
2009,Michael Oher,309
2009,Eric Wood,304
2009,Eben Britton,310
2009,Max Unger,299
2009,Andy Levitre,306
2009,Phil Loadholt,343
2009,Sebastian Vollmer,315
2009,Will Beatty,291
2009,Robert Brewster,310
2009,Antoine Caldwell,307
2009,Louis Vasquez,330
2009,Kraig Urbik,323
2009,Jonathan Luigs,303
2009,T.J. Lang,305
2009,Rich Ohrnberger,291
