Year,Date,Bikini,Color,Swimsuit_Photo_Pages,Issue_Pages,Note,Model,shoot_location,si_location,Photographer,Magazine_URL,Photos_URL,Cover_URL
1964,"Monday, January 20, 64",TRUE,White,5,72,,Babette March,"Cozumel, Mexico","Cozumel, Mexico",J. Frederick Smith,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19640120&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1964/0120_large.jpg
1965,"Monday, January 18, 65",FALSE,"Black,Red",4,80,,Sue Peterson,"Baja California, Mexico","Baja, California, Mexico",Jay Maisel,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19650118&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1965/0118_large.jpg
1966,"Monday, January 17, 66",TRUE,Red,6,76,,Sunny Bippus,"Norman Cay, Bahamas","Norman Cay, Bahamas",Howell Conant,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19660117&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1966/0117_large.jpg
1967,"Monday, January 16, 67",FALSE,Red,5,80,,Marilyn Tindall,"Scottsdale, Arizona","Scottsdale, Arizona",Jay Maisel,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19670116&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1967/0116_large.jpg
1968,"Monday, January 15, 68",TRUE,Black,5,74,,Turia Mau,"Bora Bora, French Polynesia",Bora Bora (French Polynesia) ,John G. Zimmerman,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19680115&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1968/0115_large.jpg
1969,"Monday, January 13, 69",TRUE,"Purple,Red",8,70,,Jamee Becker,Puerto Rico,Puerto Rico,Ernst Haas,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19690113&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1969/0113_large.jpg
1970,"Monday, January 12, 70",FALSE,Black,8,88,,Cheryl Tiegs,Hawaii,Hawaii,Jay Maisel,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19700112&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1970/0112_large.jpg
1971,"Monday, February 1, 71",TRUE,Red,8,76,,Tannia Rubiano,Dominican Republic,Dominican Republic,Robert Huntzinger,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19710201&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1971/0201_large.jpg
1972,"Monday, January 17, 72",FALSE,"Red,Purple,Black",6,68,,Sheila Roscoe,"Marina del Rey, California","Marina del Rey, California",John G. Zimmerman,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19720117&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1972/0117_large.jpg
1973,"Monday, January 29, 73",TRUE,Blue,7,76,,Dayle Haddon,"Great Exuma, Bahamas","Great Exuma, Bahamas","Walter Iooss, Jr.",http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19730129&mode=reader_vault,,http://i.cdn.turner.com/sivault/si_online/covers/images/1973/0129_large.jpg
